################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         13   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.8488240573669096E-03   3.8085048964587705E-02  -8.3736095891885090E-02
         1         14   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   6.8915495095063173E-02  -9.3033269100108555E-03   9.1002846738377177E-02
         1         15   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -8.8785689330578177E-02  -1.9500197615824204E-02  -8.1750333155436603E-02
         1         16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -9.7245020895895280E-03   4.3573896284134730E-02  -2.2741017089704857E-02
         1         17   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7372225503817913E-02  -9.5883165088870247E-04   6.5480148181242578E-02
         1         18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.6372652689863720E-02  -2.0733155771904491E-02   3.3920539454628251E-02
         1         19   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.4179850418327854E-02   5.7557476795929201E-02  -6.1742208833506611E-02
         1         20   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.4077041385168207E-02   1.8300237329763581E-02  -7.5505636498019627E-02
         1         21   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.1810406698867222E-02   6.1555804409121817E-03  -4.9517235985426414E-02
         1         22   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.7860200744456875E-02   4.3425698927744498E-02  -2.9764170913058073E-02
         1         23   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.0240964281029576E-02   2.7384480293207593E-02   1.0963517096105856E-01
         1         24   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.4825950551992286E-03  -7.7758622902430588E-02  -4.5236746053615301E-02
         1         25   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   8.2317531355975013E-02   8.4220523167277022E-04  -5.5991406426485056E-02
         1         26   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   6.9851041379001749E-02   2.4280717778309060E-02  -4.8284650940531491E-02
         1         27   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.1810406698866417E-02   6.1555804409432957E-03   4.9517235985462045E-02
         1         28   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -9.5189840446141982E-02   4.3485155741757778E-02  -2.9125317041406418E-02
         1         29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.0240964281048709E-02   2.7384480293184903E-02  -1.0963517096107052E-01
         1         30   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7372225503790677E-02  -9.5883165091079114E-04  -6.5480148181249115E-02
         1         31   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.4825950551988639E-03  -7.7758622902408675E-02   4.5236746053645742E-02
         1         32   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -6.8915495095076718E-02  -9.3033269099845883E-03  -9.1002846738393720E-02
         1         33   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.0509300772323633E-01  -9.9001071917956804E-02  -5.3546288199583042E-02
         1         34   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   8.8785689330586129E-02  -1.9500197615827414E-02   8.1750333155435506E-02
         1         35   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   9.7245020895334062E-03   4.3573896284135404E-02   2.2741017089687149E-02
         1         36   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   9.7971478638884668E-02  -6.3739976975948728E-02   6.8996011381303055E-02
         1         37   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.4092437413819102E-02  -8.7741603628361350E-02  -2.7706670892938088E-04
         1         38   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.8488240573601789E-03   3.8085048964586393E-02   8.3736095891834061E-02
         1         39   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.5493522140553893E-02   1.0958898889362721E-01  -2.6651586827979107E-02
         1         40   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.1654423453518402E-01   1.8531497577245229E-01   2.4702576824285137E-02
         1         41   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.1285465595719383E-01  -9.7044984652288183E-02   5.7978052243936186E-02
         1         42   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.6261812123022114E-02   7.7898310668205115E-02  -6.2577058170688357E-02
         1         43   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.4838424506326696E-02  -4.1446807246159297E-02  -9.6648745467648581E-02
         1         44   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.1993623727960144E-01  -1.3187493171304776E-01  -2.3535652931539971E-02
         1         45   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -5.1288527991526701E-02  -4.8084264200153014E-02  -6.9560594333229276E-03
         1         46   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.4966096598454692E-02  -1.5685931619841807E-02   3.9099327496650925E-02
         1         47   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.4380708644911032E-02  -2.7593576243308071E-03  -1.4218386178072613E-02
         1         48   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   6.8165528851019952E-02   4.0003388941867585E-02  -8.5055273833003472E-02
         1         49   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.5132685930769209E-02   6.4976821527283568E-02  -3.4622299190993425E-02
         1         50   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.8575026435358845E-02   1.2623893766776931E-01  -2.1077682456113606E-01
         1         51   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.1288527991482306E-02  -4.8084264200113511E-02   6.9560594333166765E-03
         1         52   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   6.6529677394198562E-03  -1.3836683680024461E-02   3.8940112497392064E-02
         1         53   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.4966096598435766E-02  -1.5685931619829729E-02  -3.9099327496619138E-02
         1         54   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -4.4380708644952423E-02  -2.7593576243211998E-03   1.4218386178044697E-02
         1         55   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.1993623727960495E-01  -1.3187493171304354E-01   2.3535652931529316E-02
         1         56   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.8238797298520935E-02   1.8994307991007115E-02   1.6694846200147693E-02
         1         57   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   6.6753792967226097E-02  -5.3437750385577520E-02  -7.2758192603673499E-02
         1         58   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.8652230332963098E-03  -1.8442417248156082E-02  -1.8853380106173351E-02
