################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1         25  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -6.9646565712968844E-02
         1         26  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.4391209437922086E-02
         1         27  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.8746644999038090E-01
         1         28  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.6123957176846898E-01
         1         29  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.6366677779824293E-01
         1         30  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5010195426850015E-01
         1         31  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7444180369631707E-01
         1         32  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.8378666484377096E-02
         1         33  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -5.8176079948330066E-02
         1         34  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5731975852531971E-01
         1         35  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5662190775396442E-01
         1         36  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.4288835750034731E-01
         1         37  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.9489166557002074E-01
         1         38  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.0790225652709776E-01
         1         39  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.8295026341707465E-01
         1         40  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -9.0363059328757477E-04
         1         41  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.1134197866764774E-01
         1         42  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.6061621688720296E-01
         1         43  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5845941679605319E-01
         1         44  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.6355706386516242E-01
         1         45  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.5550106699838633E-02
         1         46  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5941781354058007E-01
         1         47  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.4714194444431958E-01
         1         48  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.0228654114731237E-01
         1         49  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7945390368926839E-01
         1         50  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -4.8615147886240280E-02
         1         51  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.5550106699836801E-02
         1         52  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.8725698103347946E-01
         1         53  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5941781354058432E-01
