################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         23   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.0405507672985258E-04   3.0231736527932737E-04  -4.0708197100340375E-03
         1         24   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.0609521464370912E-03   1.6618329990176603E-03   9.7499949522352239E-04
         1         25   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.9753198729030039E-03  -2.0237408911302642E-03  -1.4760630186306455E-03
         1         26   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.0455311533476897E-04   3.4665605923683740E-03   2.7583865392864903E-03
         1         27   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.2625184800058859E-04  -3.8456114557229317E-03   1.0227975910563768E-03
         1         28   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.7506538539796472E-05  -3.4550494802018379E-04  -4.0090845984806847E-03
         1         29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.0330112333927510E-04   4.2961565524894593E-03   3.0178734991714680E-03
         1         30   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.0235406381773312E-03  -2.0269370208524421E-03  -1.4136364433659288E-03
         1         31   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.4286476769206458E-03   1.4327215346965885E-03   2.8848949990762001E-03
         1         32   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.3275248104286128E-03   1.6306149692637756E-03  -1.7258566475990048E-03
         1         33   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -4.4439390160309466E-04   4.0524569527378177E-03  -2.3908463312522737E-03
         1         34   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.9943474284547861E-04  -3.8472331185490640E-03  -8.7337810682058890E-04
         1         35   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7070154548050011E-04  -2.9016004406555538E-04   3.7647754143831898E-03
         1         36   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.9964702686252958E-03   1.9831137585866821E-03  -2.8041330825939025E-03
         1         37   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.3499617411445087E-04  -3.3987653514858016E-03   1.5469279131050545E-03
         1         38   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.2223043651579495E-03   1.5140028528189736E-03   1.3721184242194854E-03
         1         39   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.3995463707056622E-03  -1.4286285465842138E-03   2.2238222538494140E-03
         1         40   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.5057483959136594E-03   1.6170552204117176E-03   8.9594797702280914E-04
         1         41   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.2317221756845142E-04  -3.4846560710550894E-03  -2.5754035220037579E-03
         1         42   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.8836370374340467E-04   3.4001988078265281E-04   3.7197858400442960E-03
         1         43   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5577809990490982E-03   1.6153251212170593E-03   2.7776568745312680E-03
         1         44   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.3027212942878057E-03   1.4679694444597201E-03  -1.1971997984837810E-03
         1         45   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.9895051149864639E-03   1.9613491150839973E-03   2.0957446181860758E-03
         1         46   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.1870431280897919E-04  -3.4671977241817571E-03  -1.2013275887499744E-03
         1         47   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.1521289901178836E-03   1.4858643398363905E-03  -1.1074660186080126E-03
         1         48   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.8035382820926456E-03  -2.0090648607265569E-03   2.5696429707064770E-03
         1         49   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.2007343053549500E-04   3.1526383589534814E-04  -3.7804797446579367E-03
         1         50   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.9864114503386939E-03   1.8959667749699281E-03   8.9232420636311724E-04
